Sender,Receiver,Timestamp
nsokolov@gmail.com,dsmisnov@gmail.com,2023-03-18 16:59:52
ekuznetsova@gmail.com,knikolaeva@gmail.com,2023-03-18 21:26:05
ekuznetsova@gmail.com,pzaitsev@gmail.com,2023-03-18 16:37:20
abelov@gmail.com,dsmisnov@gmail.com,2023-03-18 16:19:59
pzaitsev@gmail.com,nsokolov@gmail.com,2023-03-18 08:09:01
nsokolov@gmail.com,dsmisnov@gmail.com,2023-03-18 01:05:17
ekuznetsova@gmail.com,dsmisnov@gmail.com,2023-03-18 01:13:45
dsmisnov@gmail.com,aivanov@gmail.com,2023-03-18 21:11:09
nsokolov@gmail.com,abelov@gmail.com,2023-03-18 14:56:36
aivanov@gmail.com,lvasiliev@gmail.com,2023-03-18 15:48:25
mpetrova@gmail.com,aivanov@gmail.com,2023-03-18 17:15:15
knikolaeva@gmail.com,ekuznetsova@gmail.com,2023-03-18 08:03:10
mpetrova@gmail.com,dsmisnov@gmail.com,2023-03-18 15:47:14
knikolaeva@gmail.com,lvasiliev@gmail.com,2023-03-18 11:58:37
pzaitsev@gmail.com,lvasiliev@gmail.com,2023-03-18 20:13:14
mpetrova@gmail.com,pzaitsev@gmail.com,2023-03-18 13:44:48
pzaitsev@gmail.com,lvasiliev@gmail.com,2023-03-18 13:11:09
nsokolov@gmail.com,okozlova@gmail.com,2023-03-18 12:04:02
dsmisnov@gmail.com,pzaitsev@gmail.com,2023-03-18 13:45:08
lvasiliev@gmail.com,knikolaeva@gmail.com,2023-03-18 01:15:47
okozlova@gmail.com,pzaitsev@gmail.com,2023-03-18 19:53:14
okozlova@gmail.com,pzaitsev@gmail.com,2023-03-18 00:30:25
okozlova@gmail.com,knikolaeva@gmail.com,2023-03-18 20:51:12
mpetrova@gmail.com,dsmisnov@gmail.com,2023-03-18 22:30:26
mpetrova@gmail.com,nsokolov@gmail.com,2023-03-18 17:24:34
lvasiliev@gmail.com,dsmisnov@gmail.com,2023-03-18 21:51:26
pzaitsev@gmail.com,okozlova@gmail.com,2023-03-18 16:07:05
dsmisnov@gmail.com,okozlova@gmail.com,2023-03-18 12:48:57
aivanov@gmail.com,lvasiliev@gmail.com,2023-03-18 00:40:56
