Sender,Message count
lvasiliev@gmail.com,2
aivanov@gmail.com,6
abelov@gmail.com,7
knikolaeva@gmail.com,6
nsokolov@gmail.com,2
ekuznetsova@gmail.com,4
okozlova@gmail.com,4
pzaitsev@gmail.com,3
dsmisnov@gmail.com,2
mpetrova@gmail.com,2
aivanov@gmail.com,6
dsmisnov@gmail.com,2
knikolaeva@gmail.com,4
nsokolov@gmail.com,2
abelov@gmail.com,4
pzaitsev@gmail.com,1
ekuznetsova@gmail.com,3
mpetrova@gmail.com,1
lvasiliev@gmail.com,5
dsmisnov@gmail.com,6
mpetrova@gmail.com,11
ekuznetsova@gmail.com,3
lvasiliev@gmail.com,5
abelov@gmail.com,6
okozlova@gmail.com,4
aivanov@gmail.com,6
knikolaeva@gmail.com,1
nsokolov@gmail.com,2
pzaitsev@gmail.com,6
nsokolov@gmail.com,3
aivanov@gmail.com,3
pzaitsev@gmail.com,3
abelov@gmail.com,3
knikolaeva@gmail.com,3
lvasiliev@gmail.com,3
okozlova@gmail.com,3
mpetrova@gmail.com,3
dsmisnov@gmail.com,3
ekuznetsova@gmail.com,1
mpetrova@gmail.com,5
okozlova@gmail.com,4
nsokolov@gmail.com,2
abelov@gmail.com,7
lvasiliev@gmail.com,2
aivanov@gmail.com,5
pzaitsev@gmail.com,4
dsmisnov@gmail.com,2
ekuznetsova@gmail.com,2
knikolaeva@gmail.com,2
mpetrova@gmail.com,5
abelov@gmail.com,8
dsmisnov@gmail.com,6
ekuznetsova@gmail.com,5
lvasiliev@gmail.com,5
nsokolov@gmail.com,3
knikolaeva@gmail.com,5
pzaitsev@gmail.com,2
aivanov@gmail.com,4
okozlova@gmail.com,2
ekuznetsova@gmail.com,2
abelov@gmail.com,5
pzaitsev@gmail.com,2
dsmisnov@gmail.com,2
okozlova@gmail.com,4
mpetrova@gmail.com,3
nsokolov@gmail.com,2
aivanov@gmail.com,3
knikolaeva@gmail.com,3
lvasiliev@gmail.com,3
lvasiliev@gmail.com,4
pzaitsev@gmail.com,3
mpetrova@gmail.com,5
aivanov@gmail.com,5
dsmisnov@gmail.com,2
abelov@gmail.com,5
okozlova@gmail.com,4
nsokolov@gmail.com,3
ekuznetsova@gmail.com,1
aivanov@gmail.com,6
dsmisnov@gmail.com,2
nsokolov@gmail.com,5
lvasiliev@gmail.com,8
abelov@gmail.com,9
knikolaeva@gmail.com,2
okozlova@gmail.com,6
pzaitsev@gmail.com,2
mpetrova@gmail.com,6
ekuznetsova@gmail.com,3
nsokolov@gmail.com,5
lvasiliev@gmail.com,2
dsmisnov@gmail.com,7
aivanov@gmail.com,4
knikolaeva@gmail.com,4
okozlova@gmail.com,6
pzaitsev@gmail.com,2
mpetrova@gmail.com,1
ekuznetsova@gmail.com,9
abelov@gmail.com,2
okozlova@gmail.com,7
pzaitsev@gmail.com,5
nsokolov@gmail.com,8
lvasiliev@gmail.com,4
dsmisnov@gmail.com,6
abelov@gmail.com,3
ekuznetsova@gmail.com,3
knikolaeva@gmail.com,4
mpetrova@gmail.com,2
ekuznetsova@gmail.com,6
dsmisnov@gmail.com,7
abelov@gmail.com,6
pzaitsev@gmail.com,7
okozlova@gmail.com,5
lvasiliev@gmail.com,5
mpetrova@gmail.com,4
nsokolov@gmail.com,3
knikolaeva@gmail.com,4
aivanov@gmail.com,3
ekuznetsova@gmail.com,7
pzaitsev@gmail.com,4
abelov@gmail.com,3
nsokolov@gmail.com,7
mpetrova@gmail.com,5
dsmisnov@gmail.com,6
knikolaeva@gmail.com,4
okozlova@gmail.com,6
lvasiliev@gmail.com,2
aivanov@gmail.com,2
pzaitsev@gmail.com,5
okozlova@gmail.com,6
knikolaeva@gmail.com,4
lvasiliev@gmail.com,2
mpetrova@gmail.com,2
dsmisnov@gmail.com,2
aivanov@gmail.com,2
abelov@gmail.com,1
ekuznetsova@gmail.com,2
nsokolov@gmail.com,1
pzaitsev@gmail.com,8
dsmisnov@gmail.com,5
knikolaeva@gmail.com,3
ekuznetsova@gmail.com,5
mpetrova@gmail.com,8
okozlova@gmail.com,3
abelov@gmail.com,3
nsokolov@gmail.com,7
lvasiliev@gmail.com,3
aivanov@gmail.com,2
aivanov@gmail.com,1
nsokolov@gmail.com,6
okozlova@gmail.com,2
knikolaeva@gmail.com,6
dsmisnov@gmail.com,3
pzaitsev@gmail.com,4
abelov@gmail.com,4
mpetrova@gmail.com,3
lvasiliev@gmail.com,2
ekuznetsova@gmail.com,2
nsokolov@gmail.com,3
ekuznetsova@gmail.com,8
pzaitsev@gmail.com,7
abelov@gmail.com,6
lvasiliev@gmail.com,5
knikolaeva@gmail.com,5
okozlova@gmail.com,2
mpetrova@gmail.com,2
aivanov@gmail.com,2
dsmisnov@gmail.com,2
lvasiliev@gmail.com,1
knikolaeva@gmail.com,8
ekuznetsova@gmail.com,2
dsmisnov@gmail.com,2
abelov@gmail.com,4
nsokolov@gmail.com,3
mpetrova@gmail.com,4
aivanov@gmail.com,2
pzaitsev@gmail.com,1
okozlova@gmail.com,1
ekuznetsova@gmail.com,7
nsokolov@gmail.com,6
knikolaeva@gmail.com,5
dsmisnov@gmail.com,2
okozlova@gmail.com,5
pzaitsev@gmail.com,2
lvasiliev@gmail.com,6
mpetrova@gmail.com,7
aivanov@gmail.com,6
abelov@gmail.com,3
okozlova@gmail.com,6
aivanov@gmail.com,3
pzaitsev@gmail.com,7
ekuznetsova@gmail.com,6
nsokolov@gmail.com,4
abelov@gmail.com,2
knikolaeva@gmail.com,10
mpetrova@gmail.com,1
dsmisnov@gmail.com,3
lvasiliev@gmail.com,2
abelov@gmail.com,4
ekuznetsova@gmail.com,2
knikolaeva@gmail.com,2
pzaitsev@gmail.com,7
mpetrova@gmail.com,7
okozlova@gmail.com,5
dsmisnov@gmail.com,4
lvasiliev@gmail.com,7
aivanov@gmail.com,6
nsokolov@gmail.com,3
knikolaeva@gmail.com,5
abelov@gmail.com,4
aivanov@gmail.com,3
dsmisnov@gmail.com,4
okozlova@gmail.com,3
mpetrova@gmail.com,3
ekuznetsova@gmail.com,2
pzaitsev@gmail.com,2
lvasiliev@gmail.com,6
nsokolov@gmail.com,2
abelov@gmail.com,6
okozlova@gmail.com,7
lvasiliev@gmail.com,6
knikolaeva@gmail.com,5
aivanov@gmail.com,6
mpetrova@gmail.com,4
nsokolov@gmail.com,4
pzaitsev@gmail.com,5
dsmisnov@gmail.com,4
ekuznetsova@gmail.com,3
abelov@gmail.com,6
okozlova@gmail.com,5
nsokolov@gmail.com,2
pzaitsev@gmail.com,5
mpetrova@gmail.com,6
ekuznetsova@gmail.com,9
aivanov@gmail.com,7
knikolaeva@gmail.com,5
dsmisnov@gmail.com,2
ekuznetsova@gmail.com,4
dsmisnov@gmail.com,5
aivanov@gmail.com,10
pzaitsev@gmail.com,2
knikolaeva@gmail.com,2
lvasiliev@gmail.com,3
okozlova@gmail.com,4
mpetrova@gmail.com,4
abelov@gmail.com,2
nsokolov@gmail.com,2
dsmisnov@gmail.com,5
nsokolov@gmail.com,4
okozlova@gmail.com,2
abelov@gmail.com,6
lvasiliev@gmail.com,6
aivanov@gmail.com,2
knikolaeva@gmail.com,2
ekuznetsova@gmail.com,4
pzaitsev@gmail.com,1
nsokolov@gmail.com,5
okozlova@gmail.com,4
lvasiliev@gmail.com,2
aivanov@gmail.com,4
pzaitsev@gmail.com,3
knikolaeva@gmail.com,4
ekuznetsova@gmail.com,3
dsmisnov@gmail.com,11
mpetrova@gmail.com,5
abelov@gmail.com,4
okozlova@gmail.com,10
knikolaeva@gmail.com,4
pzaitsev@gmail.com,5
ekuznetsova@gmail.com,3
aivanov@gmail.com,5
dsmisnov@gmail.com,6
nsokolov@gmail.com,1
abelov@gmail.com,3
mpetrova@gmail.com,1
lvasiliev@gmail.com,3
mpetrova@gmail.com,1
okozlova@gmail.com,6
pzaitsev@gmail.com,2
ekuznetsova@gmail.com,4
aivanov@gmail.com,3
nsokolov@gmail.com,6
dsmisnov@gmail.com,3
knikolaeva@gmail.com,2
abelov@gmail.com,1
nsokolov@gmail.com,10
knikolaeva@gmail.com,6
mpetrova@gmail.com,6
